car_vin,car_make,car_model,car_year,car_color,car_price,car_mileage,car_condition,car_owner,car_location
5N1AA0NC2BN730983,Mercedes-Benz,W201,1990,white,620103.32,212717,excellent,Heddi Brogini,7726 Waubesa Terrace
1D7CE3GKXAS955892,Mazda,RX-7,1987,black,821379.39,406142,fair,Addie Surman-Wells,
SCBEC9ZA0FC171645,Subaru,,1995,blue,155160.31,75312,good,Trisha Tubby,2734 Union Lane
WAUVFAFH9CN645791,GMC,Yukon,2008,black,68564.21,283230,fair,Panchito Quigg,2 Magdeline Terrace
19XFB2F52CE966736,Chevrolet,Express 3500,2007,red,379166.51,401952,good,Alys Thoday,5914 Old Gate Pass
KNAFU5A22D5831209,Mazda,Protege,2001,green,135211.75,329527,poor,Melesa Rosensaft,
5TDDCRFH6ES407724,Ford,Focus,2004,white,817273.92,409669,good,Nelson Pagden,7 Jackson Lane
JN1CV6EKXBM411495,Dodge,Ram Van 3500,1998,black,136190.3,371266,fair,Faulkner Cope,11 East Place
1GYFK438X8R497833,Audi,Q5,2011,blue,589575.02,388726,fair,Cointon Anscombe,63 5th Pass
JH4DC538X5S806008,Eagle,Vision,1996,white,932638.14,203690,good,Benny Langeley,997 Mccormick Way
19XFA1E80AE185686,Mazda,626,1986,red,945527.64,296994,fair,,3640 Oakridge Place
WA1EY94L27D881174,Ford,Explorer,1991,red,268679.43,190004,poor,Ario Foord,52607 Hudson Circle
WAUCFAFR4EA612286,Ford,Explorer Sport Trac,2005,red,746136.37,242572,excellent,Bev Fishburn,5 Jackson Avenue
1D7RE5GK7BS883721,Subaru,B9 Tribeca,2007,blue,929351.15,366754,good,Rollin Yoxen,71311 Acker Junction
WA1UFAFL4DA029969,Ford,E-350 Super Duty,2006,red,269198.2,395166,poor,Kaleb Barratt,3331 Westridge Road
WAUCVAFR1CA469734,Ford,Explorer Sport Trac,2008,black,528219.9,393317,fair,Sela Dimic,4239 John Wall Court
KL4CJCSB1FB665037,Saturn,L-Series,2000,red,112842.77,486588,excellent,Marrissa Shearme,40233 Macpherson Avenue
JH4DC54834S415375,Audi,A8,2008,blue,387402.54,274888,fair,Cristy Durnford,
KM8NU4CC5AU847481,Kia,Spectra,2006,red,158721.85,218743,fair,Ruby Daulton,628 Golf Course Drive
WAULFAFR5CA911184,Pontiac,Grand Prix,1978,blue,582658.54,429383,excellent,Moises Worssam,64835 Quincy Parkway
SCFPDCGP5EG790774,Mercury,Capri,1991,black,35924.81,264921,excellent,Robbie Randerson,7510 Forster Circle
1FTWW3DY0AE577493,Lincoln,Town Car,1989,white,489884.18,63673,fair,Clem Belton,88 Park Meadow Park
JM1NC2PF5F0033779,Oldsmobile,Achieva,1994,red,329996.71,291960,poor,Berenice Hamshaw,77 Muir Drive
1N6AA0ED7FN950264,Mercedes-Benz,S-Class,2007,red,696600.14,182735,good,Lennard Hemshall,7 Melrose Plaza
5GAER23758J897713,Volkswagen,Phaeton,2006,black,825104.48,182392,fair,Val Mathet,42664 Comanche Center
KNAFZ6A33F5074047,Chevrolet,Corvette,1962,blue,656943.41,116785,fair,Barnabe Rolinson,
WAUDF78E75A007275,BMW,5 Series,2011,green,604911.41,309087,fair,Leilah Deshon,11114 Ohio Park
5J6TF1H38FL076714,Chevrolet,Monte Carlo,1995,blue,616424.55,248000,fair,Steffie Vater,9785 Northview Center
WBALW3C55FC102550,Land Rover,Range Rover Sport,2007,blue,377252.92,321131,poor,,
2T1KU4EE1DC299356,Ferrari,599 GTB Fiorano,2007,green,427152.73,279372,fair,Jeromy Hruska,
WBAFU7C56BD785602,Mitsubishi,Diamante,1998,white,557405.03,435089,excellent,Shell Writtle,835 Pond Street
WAUSH78E56A093625,Toyota,Truck Xtracab SR5,1989,black,541783.0,250813,good,Adella Gatch,9 Killdeer Hill
2C3CCAGG1CH401798,Cadillac,DTS,2011,blue,827896.93,187485,excellent,Emmy Wynett,4 Nobel Place
KMHHT6KD5CU578973,Chevrolet,Silverado 3500HD,2006,black,669611.94,162450,excellent,Frasier Talkington,239 Kipling Way
WBAUC9C56DV517975,GMC,Yukon,2012,red,343206.84,394163,good,,735 Fuller Pass
WAUD2AFD5EN749847,Mercedes-Benz,CLK-Class,2009,white,134831.36,138981,excellent,Charisse Jeffrey,02 Judy Place
JH4KB16618C881434,GMC,Savana,2010,black,761887.17,353632,fair,,8 Ilene Crossing
WBAKG1C53CJ420784,Volkswagen,Passat,1993,black,184420.94,136852,excellent,Dunc Joubert,8 Sunnyside Road
WVGEF9BP3FD922083,Audi,A6,1999,red,343159.77,330611,fair,Prince Gedge,79 Colorado Parkway
JM1NC2PFXF0861066,Isuzu,i-280,2006,white,822362.81,472317,good,Dewitt Paolazzi,27263 Maple Wood Place
WBADT33491G951893,Chevrolet,Corvette,1995,black,460081.15,183324,poor,Pat Tirone,412 Glacier Hill Way
JN1BJ0HR8FM651485,Mazda,CX-9,2010,blue,902988.51,321713,excellent,Latashia Athey,82036 Iowa Junction
1G6DK8ED3B0977810,Jeep,Commander,2010,blue,211909.02,205886,fair,,02469 Northport Avenue
NM0KS6BN2AT893686,Volvo,XC70,2004,green,37286.06,433509,excellent,Westley Keddy,6623 Crescent Oaks Terrace
TRUTC28NX21679388,Hummer,H3T,2009,red,770415.78,254463,fair,Rodrigo Grayston,88021 Lyons Crossing
WDDNG7BB2BA661833,Chrysler,Prowler,2001,green,43896.45,432840,excellent,Ollie Gaythorpe,3 Northland Pass
1FTSW2A54AE071197,Acura,RL,2002,red,713416.65,494677,excellent,Conan Blaiklock,335 Katie Plaza
WP0CA2A88EK044088,Volvo,XC70,2012,red,982382.34,199002,fair,Chris Hulett,6797 Holmberg Lane
WBANN73557B851472,Acura,CL,2003,white,631894.38,12,poor,Terrell Linn,42455 Stone Corner Point
1G6YV36A285671824,Chevrolet,Tahoe,2004,white,321317.5,7634,good,Darn Pearse,8054 Tennyson Hill
3D73M4CL3AG674810,Mazda,626,1992,blue,436313.29,460124,poor,Eleni Chastanet,
1N4CL2AP7BC153011,Chevrolet,Sportvan G30,1994,red,875946.92,191969,fair,Cristy Wevell,02503 Wayridge Pass
2HNYD284X7H847182,BMW,5 Series,2003,black,167161.16,468472,excellent,Marijo Meneely,03037 Washington Terrace
1G6AS5S32E0834557,GMC,Yukon XL 2500,2009,black,679556.7,423678,poor,Mallissa Howels,949 Rigney Street
WAUWFAFH1DN295644,Mazda,929,1990,white,273428.02,81366,good,Witty Suggey,1 West Pass
3N1AB6AP4BL830891,Toyota,Sequoia,2008,blue,351132.42,479372,excellent,Kathye Danilishin,52705 Bobwhite Road
WBAPK53569A686918,Ford,Transit Connect,2013,blue,769612.43,353199,good,Gizela Mc Caughan,2 Grover Circle
WDBWK5EA1BF105535,BMW,7 Series,2002,white,772280.75,170171,poor,Alistair Petrowsky,48516 Schurz Pass
WAUNF68P66A389686,Subaru,Outback,2008,black,247977.26,63920,fair,Rick Goom,2649 International Hill
WUAAU34289N111310,Kia,Spectra5,2006,black,861399.28,350902,poor,Amelina Glasscoo,
4A31K2DF3BE766512,Subaru,Outback,2012,red,574542.12,471117,excellent,Urban Giacopelo,8 Loftsgordon Court
WBADS33401G003918,Subaru,Legacy,1999,green,733494.01,73344,poor,Melva Partlett,47 Surrey Avenue
WAUVT58E03A443156,Mitsubishi,Challenger,1998,black,218460.23,181947,excellent,Kylila Kramer,310 Schurz Crossing
2G4WE567351045728,Aston Martin,Vantage,2009,black,672712.42,73500,excellent,Ezechiel Aizikovitz,3 Declaration Junction
WBAVB13596K754053,Bugatti,Veyron,2009,white,283862.0,431092,good,Thorsten Preston,38 Upham Road
WBABN33453P382674,Dodge,Grand Caravan,2004,white,852542.04,457112,poor,Celie Huxter,5 Spohn Avenue
JN1CV6EK8AM736757,Buick,,2006,white,450824.89,365397,good,Alisun ffrench Beytagh,2409 Hazelcrest Terrace
1G6AX5S37E0317563,Suzuki,Swift,2001,green,751644.85,493598,good,Vere Warre,29 Havey Center
WBAUT9C51BA734970,Eagle,Vision,1994,white,466970.87,404242,fair,,288 Sunbrook Parkway
3D7LP2ET5AG789028,Scion,tC,2013,green,548466.45,273996,good,Felicdad Panons,476 Kensington Plaza
1J4PN2GK8BW791326,Chrysler,Imperial,1992,red,839936.45,271796,good,Koren Nussen,
JTDKDTB32E1237385,Plymouth,Horizon,1978,black,786650.43,370653,fair,Roslyn Tommeo,479 Talmadge Point
1G6DC8EG3A0812720,Oldsmobile,Aurora,1998,red,572915.52,390767,poor,Redd Troker,3 Debra Hill
JA32U1FU6AU142312,Dodge,Ram,2011,blue,543223.33,164120,poor,Marcie Fedder,120 Dryden Street
JH4DC53842C091250,Mitsubishi,Lancer,2005,black,7169.61,319366,fair,Ardisj Greep,05 Mccormick Circle
WBSDX9C51BE833345,Jaguar,XJ Series,1997,blue,159992.62,266125,good,Claude Ollett,8 Westerfield Trail
SCBGH3ZA1FC502501,GMC,Sierra 3500,2007,white,855818.33,193720,excellent,Sky Hague,9 Onsgard Terrace
JM3TB2BV6E0156246,Ferrari,612 Scaglietti,2006,green,580017.63,426504,excellent,Domeniga Dominichelli,5621 Sundown Terrace
3LNHL2GC3AR408902,Maserati,Quattroporte,2011,green,767576.06,415921,good,Fitz Axelby,67058 Fallview Road
WBAXH5C52CC778053,Volkswagen,Type 2,1987,blue,264046.95,81880,excellent,Dewey Holsey,99 Hazelcrest Way
SALVP2BG7EH508698,Ford,Mustang,1970,green,629178.75,122708,good,Nissie Bampkin,3791 American Ash Avenue
JN1CV6EK8DM307798,Morgan,Aero 8,2006,white,299143.45,330784,good,,
19XFB2F55FE067566,Ford,F250,2008,blue,271056.4,148728,good,Damian Shawel,9 Jay Junction
WP1AA2A26DL435960,Mitsubishi,Mirage,1998,green,155042.98,17062,good,Dona Caudelier,5 Huxley Park
WA1KK78R69A134348,Volkswagen,Touareg,2012,white,626195.33,102706,poor,Janos Radmer,4577 Dwight Crossing
5TFBM5F14AX938490,Eagle,Talon,1998,blue,641875.85,260347,fair,Dore Anderbrugge,32 Hayes Way
YV4852CT3A1407387,Saturn,S-Series,2000,red,492001.99,376901,good,Carol Plumbe,26928 Daystar Park
1GD21ZCG2BZ893981,Geo,Prizm,1997,green,682170.6,293528,fair,Sydelle Statersfield,2134 Basil Crossing
KL4CJASB4DB179694,Saab,9000,1993,red,319681.68,63953,excellent,Neale Akrigg,723 Coleman Street
1FMJU1J50AE757289,Suzuki,Daewoo Magnus,2004,green,523255.67,115948,poor,Katlin Kyncl,66 Nevada Place
3N1AB7AP9FL795809,Chevrolet,Express 3500,1996,blue,521605.28,246368,excellent,Denice Schulter,655 Blaine Parkway
3GYFNAE32ES880892,Ford,Tempo,1988,black,631792.07,32535,good,Eduard Gerok,45 Jenna Avenue
1FTMF1CW7AK196530,Infiniti,FX,2004,blue,996340.59,55052,poor,Bernadina Whelpton,68 Carberry Place
WBAVB735X7K397146,Buick,Regal,1985,black,534430.28,85529,poor,Sidonnie Guidelli,98 Sutherland Parkway
KNDPB3A29B7443042,Chevrolet,Tahoe,2009,black,662016.52,1920,poor,Courtney Severwright,91132 Manitowish Terrace
SCBGH3ZA6EC147260,Toyota,Highlander,2006,white,621205.86,53468,fair,,82748 Forest Dale Avenue
WBSBL93404J406856,Lotus,Esprit,1996,green,868817.99,160604,good,Shannon Fleet,4645 Claremont Alley
5FRYD4H40EB291175,BMW,325,2006,green,753212.28,205276,excellent,Dinah L'argent,6303 Mcbride Alley
1G4PS5SK8C4020364,Ford,Windstar,2002,white,476960.59,282599,good,Merilyn Syddie,05091 Goodland Avenue
1D4PT2GK5BW556400,Kia,Soul,2010,red,863869.55,216442,excellent,Wandie Corish,8252 Miller Drive
WAUVT68E12A358332,Subaru,Legacy,1994,blue,701224.11,278236,good,Gusella Clackson,474 Forest Dale Trail
3FAHP0GA3AR105135,Dodge,Avenger,2000,blue,191075.78,98288,excellent,Tibold Brockie,87 Sycamore Court
WBALL5C54EJ581896,GMC,Sonoma,1995,black,844758.07,245144,fair,Paulie Tudor,2 Stang Alley
4T1BK1EB2EU519212,Buick,Park Avenue,2003,green,866990.75,243716,fair,Cosme Vitet,967 Eagle Crest Place
1FTMF1EW9AK089220,Dodge,Nitro,2009,white,403351.02,422466,fair,Stirling Wesson,98412 South Way
WAUDH98E86A694614,Jeep,Wrangler,1992,black,573166.61,154375,excellent,Horton Marriott,
1FTWW3B57AE982145,Ferrari,612 Scaglietti,2008,green,100336.33,87018,excellent,Farica Brito,
1G6DV1EP2C0651572,Land Rover,Freelander,2005,black,349024.31,149569,good,Laetitia Tour,618 Evergreen Road
5FRYD3H87FB242408,Cadillac,SRX,2007,black,571953.61,497908,excellent,Pinchas Courteney,46817 Mariners Cove Alley
3N1AB6AP5CL938521,Land Rover,Discovery,1997,white,280341.27,108354,excellent,,89 Reindahl Road
4JGBB2FB5AA768409,Ford,E250,2010,black,6765.44,24215,excellent,Boigie Robillart,69235 Jenifer Pass
3VWC17AU1FM095644,Alfa Romeo,164,1993,red,275090.12,376344,fair,Corabella Housen,13 Dixon Park
1GYEC63N66R869255,GMC,Sierra,2007,red,960569.77,202769,good,Guthrey Itter,309 Veith Crossing
WBAKF9C55DE792722,Nissan,Murano,2007,red,161753.5,178989,excellent,Evelin Huson,4 Mesta Lane
WBA3A9C53FF176856,Honda,CR-Z,2012,white,668678.08,81821,excellent,Myer Stigger,86 Elka Drive
JN8AZ2KR3CT298049,Aston Martin,V8 Vantage,2010,black,527504.74,485077,excellent,Mark Saturley,4652 Mitchell Junction
WA1LMAFE3CD992832,Chevrolet,Caprice,1994,white,591585.41,335891,fair,Lowe McSperron,77357 Kings Parkway
WBABV134X6J873558,Mercedes-Benz,W201,1988,blue,467061.71,413478,fair,Danit Buddles,335 American Way
5GAKRDED0CJ015499,Ford,Fusion,2007,blue,484593.32,431829,good,Montague Tolley,84587 Sauthoff Trail
2C4RDGEG9FR347805,Pontiac,Sunbird,1983,green,485931.15,409628,poor,Ward Carme,79666 Hayes Avenue
SCBDR33W87C920575,Volvo,XC60,2009,red,44254.92,362743,fair,Reggie Edinburgh,7 Sutteridge Terrace
3MZBM1L72EM890613,Pontiac,Montana,2003,blue,920879.47,404727,good,Violante Shiril,8 Ridge Oak Avenue
1FMJU1J52AE912425,Lotus,Esprit,1999,blue,856171.19,408084,excellent,Janie Coady,
5FPYK1F47DB477939,Land Rover,Range Rover,2005,red,361297.89,483877,excellent,Willy Royce,9307 Dawn Pass
YV4952BZXE1601673,Oldsmobile,Ciera,1992,black,212526.48,470129,fair,Robin Marriner,13 Cherokee Terrace
1GYUKKEF6AR410670,Lexus,RX,2002,black,880944.6,335557,poor,Liza Simcock,657 Sugar Lane
1G6KE54Y55U641400,Mercedes-Benz,S-Class,1989,black,849578.33,370010,good,Rowney Lorans,0 Iowa Way
2HNYD18995H452509,Maserati,Coupe,2006,red,574914.85,466969,excellent,Constanta Gulk,5000 Dottie Alley
1FTSW2A57AE216331,Buick,LaCrosse,2009,black,640289.05,132736,fair,Natasha Bowick,0322 Straubel Parkway
WP0CA2A82AS798923,Chrysler,Cirrus,1995,blue,929283.8,376859,good,Sarina Schollar,7552 Garrison Way
KNAFU5A26D5310848,Volkswagen,Fox,1991,red,816161.13,43841,poor,Bartolemo Curtain,63 Sunfield Avenue
WBABS53423E613305,Mercury,Tracer,1994,blue,982726.24,300731,excellent,Pren Olle,09090 Bobwhite Park
SAJWA4DC8CM375815,Mercedes-Benz,500SEC,1993,green,414850.64,452839,fair,Aylmer Rule,096 Stephen Hill
3C3CFFAR6FT614935,Bugatti,Veyron,2009,green,371445.86,393831,excellent,Annora Filippello,41 Autumn Leaf Drive
WAURVAFA9AN129225,Mercedes-Benz,E-Class,2008,red,542228.52,99635,excellent,Melisenda Coltherd,739 Dottie Trail
1C4AJWAG5FL982017,Dodge,Stratus,2002,red,250140.33,217375,excellent,Dom de Chastelain,113 Norway Maple Junction
3C3CFFHH0FT760146,Mercury,Grand Marquis,1997,green,74777.37,294097,excellent,Arv MacKnockiter,
1D7RB1GP3BS030584,Mazda,929,1991,red,958509.35,171412,good,Johann Newick,62937 Norway Maple Point
WBA3V5C52F5322165,Volvo,V70,2008,black,771567.16,345167,excellent,Vinny Skipsea,96821 Chinook Drive
WAUVC68E23A736370,Audi,S5,2008,black,220794.35,121759,fair,Merrill Janauschek,38 Aberg Court
1GKS1GEJ7CR778767,Jaguar,XK,2010,blue,260351.99,278282,good,Aleta Leyban,037 Londonderry Plaza
WBALZ5C52CC486432,Buick,LeSabre,1991,blue,151720.37,375732,poor,Skip Korlat,31216 Kipling Lane
3LNHL2GC3AR202091,Lamborghini,Countach,1986,blue,626628.73,373471,excellent,Danni O' Faherty,93107 Butterfield Park
WUALNAFG9EN670846,Chevrolet,Corvette,2008,red,285142.4,56124,poor,Gaylene Forsbey,7 Autumn Leaf Pass
ZFBCFADH0FZ462549,Ford,Club Wagon,1996,white,927838.94,380458,excellent,Annamaria Klimuk,24576 Hollow Ridge Court
3VW4A7AT4DM926322,Dodge,Spirit,1992,red,386073.94,99930,poor,,
1G6AP5SX2F0960195,Toyota,,2011,blue,353383.73,469075,fair,Cordi Cribbin,833 Twin Pines Hill
1C6RD6LP7CS564137,Nissan,Cube,2010,blue,29289.5,337531,poor,Allistir Deakes,
JM1NC2EF9A0975975,Honda,Element,2005,green,895417.41,262596,excellent,Willie Sherwyn,576 Dayton Alley
1GYUKDEF4AR644009,Pontiac,GTO,1969,white,816817.0,24000,fair,Christy Chasson,64623 Springview Place
YV1902MMXF1775368,Toyota,Venza,2012,red,895469.04,397421,good,Lauri Goult,
WAUFFAFL5DN466240,Hyundai,Excel,1992,blue,41447.08,275999,fair,Buck Handasyde,8725 Center Point
WBAEK73494B178665,Mercury,Mariner,2011,red,65399.0,465417,excellent,Kirsti Whiting,98647 High Crossing Pass
WAUWFAFR0DA275868,Saab,900,1991,red,355677.01,325823,poor,Ramsay Heather,5 Messerschmidt Pass
JTHBF1D21F5724783,Ford,Mustang,1974,black,412423.98,270233,fair,,
JH4CL959X6C892876,GMC,Savana Cargo Van,2006,green,252236.59,476198,good,,1 Sugar Alley
WAUDFBFC1CN746412,Infiniti,I,2001,black,20061.51,301972,excellent,Romonda Ashness,4420 Buena Vista Center
WAUMR44E97N743531,Toyota,MR2,2001,green,483262.62,91917,good,Lyndy Habershaw,2912 Eagan Road
KMHTC6AD6CU246214,Scion,tC,2013,black,179387.47,348912,excellent,Netti Gotling,55764 Delladonna Trail
WBA3R1C54FK242347,GMC,Sierra 3500,2012,green,944029.25,344714,fair,Roxanna Whittington,77103 Darwin Street
1FMJK1G52DE285372,Land Rover,Range Rover,2003,blue,937212.36,228447,good,Ezri Dawtrey,4904 Crest Line Point
JTHDU1EF1C5122218,GMC,Vandura 2500,1994,white,830140.54,136108,excellent,Marlene Kybird,029 Sherman Street
3GYFNBEY3AS243876,Isuzu,Hombre Space,2000,blue,670478.27,327099,poor,Natalya Croote,162 Park Meadow Pass
WA1LMBFEXCD646413,Pontiac,Grand Prix,1974,white,654161.04,21980,poor,Leda Brimelow,87627 Summit Street
2C3CDYCJ2EH606590,Dodge,Dakota,1999,green,339615.45,105939,excellent,Horace McKeighan,
1GKMCCE31AR994298,Subaru,Impreza,2006,white,72608.03,94739,poor,Tove Jeffryes,83 Ryan Road
WAUAF78E75A297018,Audi,5000S,1988,blue,581965.08,479014,good,Felike Brickhill,
JM1DE1KY9D0597537,GMC,Acadia,2007,green,898148.74,307258,excellent,Huntley Edelheid,
WA1CMAFP8FA523811,Jeep,Commander,2009,black,845293.84,345614,excellent,Hillel Alessandrelli,
2C3CCABG4CH662589,Jeep,Liberty,2002,blue,550781.21,26186,good,Emilie Geeves,46977 Basil Drive
WBAKF9C54BE388856,Hyundai,Azera,2008,white,751285.19,232430,good,Sybille Wickett,36 Fair Oaks Plaza
5XXGM4A79CG171130,Mercury,Grand Marquis,1997,black,780377.99,220885,excellent,Dionisio Terbrug,03 Loeprich Pass
2G4WD582871063309,Audi,A4,2012,black,36557.14,405446,excellent,Violetta Abelson,11387 Main Lane
WAULH64B21N330535,Mercury,Capri,1992,black,429926.25,315891,good,Sutton Tunmore,6 8th Lane
1FBNE3BL7AD505142,Toyota,Paseo,1996,blue,839112.72,67659,excellent,Christine Bony,2 Spaight Point
WA1YD64B63N731801,Lincoln,Navigator,2002,red,163420.25,8288,good,Jan Harcase,37 Anzinger Way
JN8AF5MV3FT616051,Oldsmobile,Bravada,2004,blue,659092.11,79632,good,Luca Botwood,1 Bartelt Terrace
3N1BC1AP9AL520559,Mazda,B-Series,1998,red,637897.58,74578,excellent,Flin Neath,7 Sundown Crossing
1C3BCBFG8CN459160,Cadillac,DeVille,2002,blue,588209.1,251890,fair,Shandie McGougan,1 Moland Center
WBANF33526C752476,Kia,Spectra5,2006,blue,796644.04,456640,excellent,Elroy Brearley,42 Northridge Center
WAUGL98E46A304717,Oldsmobile,Aurora,2001,red,953991.13,384912,poor,Ninnette Missington,91 Cascade Parkway
WAULC58E74A708969,Dodge,Stealth,1995,red,264369.37,387990,poor,Oberon Vaen,
KNDJT2A55D7546050,Mercury,Villager,2000,white,143938.82,35793,poor,Wyn Lody,614 Golden Leaf Alley
WAUXL68E75A176891,Hyundai,Accent,1996,blue,749622.77,479028,excellent,Pascal Fairhead,3885 Coleman Lane
NM0GE9F71F1939523,Lexus,SC,1995,red,377645.77,72934,excellent,Waite Darling,5103 Elmside Center
WP0AB2A86FK615633,Jaguar,XK Series,2001,blue,696378.36,90703,excellent,Ronda Mosdill,8 Arizona Avenue
4JGBB9FB5BA970404,Chevrolet,APV,1993,blue,294863.15,266993,good,Ode Lamputt,85 Darwin Plaza
JHMFB4F20CS831624,Honda,Accord,1989,red,155520.61,169073,poor,,
WBA4C9C57FD713688,Ford,Escape,2001,blue,564274.52,380844,fair,Ellissa Labbey,
1GYEC63T52R109276,Land Rover,LR2,2011,blue,211709.84,127560,fair,Brennan Whitecross,56 Springview Alley
1G4HR54K51U743857,Subaru,Outback,2001,blue,809804.75,208349,excellent,Mal Lipyeat,02 Crescent Oaks Crossing
WA1WKBFP9BA692478,Cadillac,Escalade EXT,2012,green,509204.5,92581,fair,Brianne Shimony,99 Doe Crossing Place
3VW1K7AJ1EM151526,Porsche,911,1998,black,9789.34,341282,poor,Elnora Eger,77888 Spohn Terrace
WBADT43451G513605,Audi,riolet,1998,blue,682853.25,457569,fair,,8 Heffernan Trail
19XFA1E36AE642408,Audi,Cabriolet,1997,black,527300.91,319789,fair,Theodore Cornick,09 Trailsway Terrace
WBAUP9C50BV551766,GMC,Sierra 3500,2003,white,918233.02,282450,excellent,Sissie Skamell,23423 Summer Ridge Circle
JN1BJ0HR2FM347181,Mercedes-Benz,CL-Class,1999,black,10902.19,333756,fair,Daisie Grunwall,92 West Point
1FMJU1J5XAE172817,Pontiac,LeMans,1992,blue,86351.23,33035,fair,Myrtle Perks,488 Heath Drive
WBAVB73517K640973,Mercury,Cougar,1995,white,91652.43,154400,good,Sella Mailey,
1FTWX3B55AE902676,Geo,Prizm,1994,blue,728996.09,134278,good,Etti Chesshire,181 Golf Course Park
1G4HR54K624804876,Mitsubishi,Lancer Evolution,2006,black,45463.19,366273,poor,Moyra Rioch,1 Hoard Avenue
JTDKTUD33ED314088,Hummer,H2 SUT,2006,white,418708.54,448131,excellent,Cyb Raubenheimers,0407 Green Parkway
SCFEBBAC7AG330555,Dodge,,2002,green,701091.54,423622,good,Augie Bortolutti,
JTDZN3EU5EJ035141,Pontiac,Grand Am,1990,blue,50625.27,467486,fair,Stinky Eacott,802 Parkside Junction
SALGS2TF3FA743235,Eagle,Vision,1996,red,73438.35,309731,poor,Brander Taillard,225 Mosinee Drive
1N6AA0CA3BN667234,Cadillac,Escalade EXT,2004,black,376669.76,462007,excellent,Daron Sidle,
WVWED7AJ7CW086404,Isuzu,Rodeo,2001,green,201095.1,139113,good,Helaine Storah,544 Pierstorff Junction
WBA4A5C55FD548996,Chevrolet,Lumina,2000,blue,851658.53,137107,excellent,Chauncey Bucky,
3D4PG3FG2BT874231,Mazda,Mazda3,2008,blue,537001.99,394698,excellent,Athene Bauser,11 Basil Court
5N1AA0NC8BN036749,GMC,Yukon,1992,blue,66940.55,106754,poor,Coop Colegrove,4 Forest Run Circle
1N6AF0LY0FN744002,Saab,,1987,blue,539008.08,122993,excellent,Belia Breyt,5575 Heath Street
5UMDU93528L440888,Volkswagen,Golf III,1993,black,852613.84,379913,poor,Kelwin Dacres,6151 Johnson Place
1N6AF0KY1EN234127,Mercury,Cougar,2000,red,636521.83,344627,fair,Cayla Nipper,1 Tony Court
WBADN63423G506409,Daewoo,Lanos,2002,white,711297.88,197257,fair,Fairfax Rodenburg,86 Ohio Plaza
WBAYM9C57ED217805,Mercedes-Benz,300CE,1993,black,469760.74,338674,good,Langsdon Thompkins,9 Longview Junction
1B3CB8HB8AD590441,GMC,Acadia,2012,red,442418.45,257628,poor,Clerissa Shere,05 Lerdahl Circle
2C3CDXJG7CH777656,Volvo,XC90,2012,blue,99548.33,207122,excellent,Roseline Haddock,31 Northport Avenue
5N1AR2MM8FC702556,Chevrolet,Monte Carlo,1999,white,471628.14,10115,poor,Nanine Windibank,54 Kropf Pass
1ZVBP8JZ7E5257020,Honda,Accord,2005,red,753856.02,394761,excellent,Lindy Doonican,369 Ridge Oak Street
1G4GD5EG1AF409236,Chevrolet,Corvette,1988,white,663811.58,87625,excellent,Emmey Losebie,4 Miller Circle
5N1AN0NW0EN435979,Pontiac,Sunfire,2005,white,20769.34,487932,fair,Kendra Kingswoode,481 Tomscot Point
WP0AA2A81BU864228,Dodge,Avenger,2010,blue,371861.28,441986,fair,Ivan Libbie,3591 Packers Junction
WBAYE8C53FD786353,Lexus,ES,1993,blue,960727.38,125770,poor,Elmo Webb,61133 Transport Street
1GYFK53249R534457,Audi,TT,2012,blue,289997.76,426302,excellent,,69432 Clarendon Center
WAUVT68EX5A913931,Chevrolet,Express 2500,2005,red,705619.06,139722,poor,,24426 Monument Parkway
1G6AE5S32D0404470,Lexus,SC,1995,green,828980.98,328353,fair,Eulalie Inworth,34360 Maryland Point
WDDGF5EB6BR423562,GMC,Savana 1500,2011,blue,907964.94,403953,poor,Bogart Struthers,
TRUDD38J481884038,Acura,NSX,2003,green,288690.28,296173,good,Glory McGarry,5844 Ridgeway Avenue
WA1LMAFE4FD501222,Lincoln,Blackwood,2002,blue,320598.04,338475,excellent,Sasha Thome,79804 Mariners Cove Avenue
3N1BC1AP1BL998525,Porsche,928,1985,green,472633.79,363934,excellent,Melloney Casacchia,7 Corben Circle
1VWAP7A33EC641146,Mitsubishi,Precis,1990,red,567892.55,319143,fair,Yoko Kubek,
5J6TF1H39AL883705,Mercedes-Benz,S-Class,1984,white,815135.7,448207,fair,Gregor Manville,9981 Calypso Hill
3VW4T7ATXEM240023,Honda,Accord,2011,blue,253349.45,81365,excellent,Pyotr Gooms,62 Kropf Hill
JTEBU4BF5EK758168,Toyota,TundraMax,2009,white,387406.9,322646,excellent,Chelsae Curr,6886 Stuart Point
JN1BY0AP5AM397411,Infiniti,G25,2012,green,751788.1,130418,excellent,Persis Christley,62416 Donald Hill
5TDBW5G19DS482473,Ford,Focus,2012,white,976111.66,82962,good,Granthem Raff,80781 Banding Place
WDDHF0EB8EA582920,Hyundai,Tiburon,2008,blue,789762.14,268394,good,Keelia Gotch,84 Park Meadow Junction
5XYKT3A11CG960578,Subaru,B9 Tribeca,2006,blue,994422.71,243120,fair,Boonie Wainscot,63410 Maywood Avenue
WAUBVAFBXAN334076,Mazda,Protege,2003,green,657666.66,451352,excellent,Sybyl Widmore,47675 Shopko Circle
1G4PT5SV9D4222381,Volkswagen,Routan,2009,black,726525.73,120341,excellent,,
